# x y u v p
0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.26302000e+02
2.50000000e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.26302000e+02
5.00000000e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.26325000e+02
7.50000000e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.26291000e+02
1.00000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.26289000e+02
1.25000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.26321000e+02
1.50000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.26301000e+02
1.75000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.26269000e+02
2.00000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.26294000e+02
2.25000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.26306000e+02
2.50000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.26262000e+02
2.75000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.26256000e+02
3.00000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.26292000e+02
3.25000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.26270000e+02
3.50000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.26229000e+02
3.75000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.26257000e+02
4.00000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.26279000e+02
4.25000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.26236000e+02
4.50000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.26228000e+02
4.75000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.26273000e+02
5.00000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.26271000e+02
5.25000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.26239000e+02
5.50000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.26260000e+02
5.75000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.26289000e+02
6.00000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.26271000e+02
6.25000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.26253000e+02
6.50000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.26267000e+02
6.75000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.26270000e+02
7.00000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.26241000e+02
7.25000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.26221000e+02
7.50000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.26228000e+02
7.75000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.26218000e+02
8.00000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.26186000e+02
8.25000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.26180000e+02
8.50000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.26192000e+02
8.75000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.26179000e+02
9.00000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.26160000e+02
9.25000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.26171000e+02
9.50000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.26184000e+02
9.75000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.26180000e+02
1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.26180000e+02
0.00000000e+00 2.50000000e-02 0.00000000e+00 0.00000000e+00 8.26302000e+02
2.50000000e-02 2.50000000e-02 2.03650000e-02 -1.08422000e-02 8.26302000e+02
5.00000000e-02 2.50000000e-02 3.71605000e-02 -1.64432000e-02 8.26325000e+02
7.50000000e-02 2.50000000e-02 5.08997000e-02 -5.50891000e-03 8.26291000e+02
1.00000000e-01 2.50000000e-02 5.67047000e-02 -3.59220000e-03 8.26289000e+02
1.25000000e-01 2.50000000e-02 5.93874000e-02 7.19090000e-05 8.26321000e+02
1.50000000e-01 2.50000000e-02 5.59863000e-02 5.93384000e-03 8.26301000e+02
1.75000000e-01 2.50000000e-02 4.47363000e-02 1.37334000e-02 8.26269000e+02
2.00000000e-01 2.50000000e-02 2.71664000e-02 1.58447000e-02 8.26294000e+02
2.25000000e-01 2.50000000e-02 7.40589000e-03 1.78440000e-02 8.26306000e+02
2.50000000e-01 2.50000000e-02 -1.75431000e-02 2.39294000e-02 8.26262000e+02
2.75000000e-01 2.50000000e-02 -4.90442000e-02 2.93729000e-02 8.26256000e+02
3.00000000e-01 2.50000000e-02 -8.39574000e-02 2.88913000e-02 8.26292000e+02
3.25000000e-01 2.50000000e-02 -1.18489000e-01 2.92973000e-02 8.26270000e+02
3.50000000e-01 2.50000000e-02 -1.55901000e-01 3.31965000e-02 8.26229000e+02
3.75000000e-01 2.50000000e-02 -1.94817000e-01 3.23756000e-02 8.26257000e+02
4.00000000e-01 2.50000000e-02 -2.29620000e-01 2.56389000e-02 8.26279000e+02
4.25000000e-01 2.50000000e-02 -2.57024000e-01 2.07531000e-02 8.26236000e+02
4.50000000e-01 2.50000000e-02 -2.78893000e-01 1.59743000e-02 8.26228000e+02
4.75000000e-01 2.50000000e-02 -2.92222000e-01 7.11233000e-03 8.26273000e+02
5.00000000e-01 2.50000000e-02 -2.94329000e-01 -3.35214000e-03 8.26271000e+02
5.25000000e-01 2.50000000e-02 -2.83029000e-01 -1.44222000e-02 8.26239000e+02
5.50000000e-01 2.50000000e-02 -2.59331000e-01 -2.44311000e-02 8.26260000e+02
5.75000000e-01 2.50000000e-02 -2.26096000e-01 -2.97339000e-02 8.26289000e+02
6.00000000e-01 2.50000000e-02 -1.85816000e-01 -3.67973000e-02 8.26271000e+02
6.25000000e-01 2.50000000e-02 -1.35785000e-01 -4.51577000e-02 8.26253000e+02
6.50000000e-01 2.50000000e-02 -8.15823000e-02 -4.42975000e-02 8.26267000e+02
6.75000000e-01 2.50000000e-02 -3.04727000e-02 -3.95526000e-02 8.26270000e+02
7.00000000e-01 2.50000000e-02 1.65411000e-02 -3.80804000e-02 8.26241000e+02
7.25000000e-01 2.50000000e-02 5.99316000e-02 -3.28257000e-02 8.26221000e+02
7.50000000e-01 2.50000000e-02 9.30968000e-02 -2.17917000e-02 8.26228000e+02
7.75000000e-01 2.50000000e-02 1.14877000e-01 -1.34237000e-02 8.26218000e+02
8.00000000e-01 2.50000000e-02 1.26955000e-01 -6.20199000e-03 8.26186000e+02
8.25000000e-01 2.50000000e-02 1.30556000e-01 1.24511000e-03 8.26180000e+02
8.50000000e-01 2.50000000e-02 1.24054000e-01 9.93232000e-03 8.26192000e+02
8.75000000e-01 2.50000000e-02 1.10214000e-01 1.39085000e-02 8.26179000e+02
9.00000000e-01 2.50000000e-02 9.14982000e-02 1.76121000e-02 8.26160000e+02
9.25000000e-01 2.50000000e-02 7.16257000e-02 1.62659000e-02 8.26171000e+02
9.50000000e-01 2.50000000e-02 4.78991000e-02 2.36232000e-02 8.26184000e+02
9.75000000e-01 2.50000000e-02 2.36005000e-02 1.73696000e-02 8.26180000e+02
1.00000000e+00 2.50000000e-02 0.00000000e+00 0.00000000e+00 8.26180000e+02
0.00000000e+00 5.00000000e-02 0.00000000e+00 0.00000000e+00 8.26306000e+02
2.50000000e-02 5.00000000e-02 -6.06102000e-03 -1.95524000e-02 8.26306000e+02
5.00000000e-02 5.00000000e-02 -7.44482000e-04 -3.34600000e-02 8.26287000e+02
7.50000000e-02 5.00000000e-02 1.77172000e-02 -1.97756000e-02 8.26305000e+02
1.00000000e-01 5.00000000e-02 2.56304000e-02 -7.45197000e-03 8.26317000e+02
1.25000000e-01 5.00000000e-02 1.72930000e-02 7.10110000e-03 8.26299000e+02
1.50000000e-01 5.00000000e-02 -7.70141000e-04 1.96560000e-02 8.26288000e+02
1.75000000e-01 5.00000000e-02 -2.50189000e-02 3.44554000e-02 8.26300000e+02
2.00000000e-01 5.00000000e-02 -6.18093000e-02 4.64652000e-02 8.26297000e+02
2.25000000e-01 5.00000000e-02 -1.11857000e-01 5.69130000e-02 8.26279000e+02
2.50000000e-01 5.00000000e-02 -1.69645000e-01 6.68707000e-02 8.26279000e+02
2.75000000e-01 5.00000000e-02 -2.30858000e-01 7.75584000e-02 8.26283000e+02
3.00000000e-01 5.00000000e-02 -3.01448000e-01 8.49482000e-02 8.26268000e+02
3.25000000e-01 5.00000000e-02 -3.80519000e-01 8.74811000e-02 8.26260000e+02
3.50000000e-01 5.00000000e-02 -4.56925000e-01 8.73586000e-02 8.26268000e+02
3.75000000e-01 5.00000000e-02 -5.25442000e-01 8.55858000e-02 8.26256000e+02
4.00000000e-01 5.00000000e-02 -5.93438000e-01 7.66075000e-02 8.26241000e+02
4.25000000e-01 5.00000000e-02 -6.53348000e-01 5.78881000e-02 8.26258000e+02
4.50000000e-01 5.00000000e-02 -6.90880000e-01 3.72780000e-02 8.26262000e+02
4.75000000e-01 5.00000000e-02 -7.08555000e-01 1.94738000e-02 8.26234000e+02
5.00000000e-01 5.00000000e-02 -7.13352000e-01 -6.94710000e-03 8.26248000e+02
5.25000000e-01 5.00000000e-02 -6.94369000e-01 -4.20713000e-02 8.26283000e+02
5.50000000e-01 5.00000000e-02 -6.49225000e-01 -6.64954000e-02 8.26257000e+02
5.75000000e-01 5.00000000e-02 -5.86782000e-01 -8.08851000e-02 8.26237000e+02
6.00000000e-01 5.00000000e-02 -5.10010000e-01 -1.03332000e-01 8.26282000e+02
6.25000000e-01 5.00000000e-02 -4.19499000e-01 -1.21232000e-01 8.26284000e+02
6.50000000e-01 5.00000000e-02 -3.23331000e-01 -1.19104000e-01 8.26232000e+02
6.75000000e-01 5.00000000e-02 -2.24840000e-01 -1.12225000e-01 8.26241000e+02
7.00000000e-01 5.00000000e-02 -1.31297000e-01 -1.06284000e-01 8.26270000e+02
7.25000000e-01 5.00000000e-02 -4.97470000e-02 -8.93340000e-02 8.26226000e+02
7.50000000e-01 5.00000000e-02 1.76461000e-02 -6.33463000e-02 8.26189000e+02
7.75000000e-01 5.00000000e-02 7.02132000e-02 -4.19886000e-02 8.26218000e+02
8.00000000e-01 5.00000000e-02 1.03260000e-01 -2.12693000e-02 8.26216000e+02
8.25000000e-01 5.00000000e-02 1.18160000e-01 1.18709000e-03 8.26163000e+02
8.50000000e-01 5.00000000e-02 1.17001000e-01 2.24848000e-02 8.26167000e+02
8.75000000e-01 5.00000000e-02 1.04423000e-01 3.23719000e-02 8.26203000e+02
9.00000000e-01 5.00000000e-02 8.25578000e-02 4.22619000e-02 8.26173000e+02
9.25000000e-01 5.00000000e-02 5.14163000e-02 4.81076000e-02 8.26142000e+02
9.50000000e-01 5.00000000e-02 1.59585000e-02 5.50966000e-02 8.26189000e+02
9.75000000e-01 5.00000000e-02 -4.95979000e-04 3.22170000e-02 8.26204000e+02
1.00000000e+00 5.00000000e-02 0.00000000e+00 0.00000000e+00 8.26204000e+02
0.00000000e+00 7.50000000e-02 0.00000000e+00 0.00000000e+00 8.26299000e+02
2.50000000e-02 7.50000000e-02 2.88802000e-03 -1.65578000e-02 8.26299000e+02
5.00000000e-02 7.50000000e-02 1.22625000e-03 -3.52428000e-02 8.26293000e+02
7.50000000e-02 7.50000000e-02 -3.67504000e-03 -2.77870000e-02 8.26324000e+02
1.00000000e-01 7.50000000e-02 -1.16037000e-02 -1.12767000e-03 8.26314000e+02
1.25000000e-01 7.50000000e-02 -2.92018000e-02 2.91886000e-02 8.26280000e+02
1.50000000e-01 7.50000000e-02 -6.56348000e-02 5.26994000e-02 8.26299000e+02
1.75000000e-01 7.50000000e-02 -1.16811000e-01 7.69015000e-02 8.26321000e+02
2.00000000e-01 7.50000000e-02 -1.80067000e-01 1.04496000e-01 8.26283000e+02
2.25000000e-01 7.50000000e-02 -2.56693000e-01 1.28440000e-01 8.26266000e+02
2.50000000e-01 7.50000000e-02 -3.48550000e-01 1.44928000e-01 8.26302000e+02
2.75000000e-01 7.50000000e-02 -4.49440000e-01 1.62244000e-01 8.26294000e+02
3.00000000e-01 7.50000000e-02 -5.55692000e-01 1.79723000e-01 8.26246000e+02
3.25000000e-01 7.50000000e-02 -6.65838000e-01 1.85063000e-01 8.26257000e+02
3.50000000e-01 7.50000000e-02 -7.77433000e-01 1.78069000e-01 8.26287000e+02
3.75000000e-01 7.50000000e-02 -8.80621000e-01 1.69311000e-01 8.26251000e+02
4.00000000e-01 7.50000000e-02 -9.68384000e-01 1.52273000e-01 8.26222000e+02
4.25000000e-01 7.50000000e-02 -1.03996000e+00 1.16248000e-01 8.26255000e+02
4.50000000e-01 7.50000000e-02 -1.09572000e+00 7.25905000e-02 8.26264000e+02
4.75000000e-01 7.50000000e-02 -1.12374000e+00 3.14034000e-02 8.26229000e+02
5.00000000e-01 7.50000000e-02 -1.11846000e+00 -1.87069000e-02 8.26231000e+02
5.25000000e-01 7.50000000e-02 -1.09043000e+00 -7.66007000e-02 8.26263000e+02
5.50000000e-01 7.50000000e-02 -1.04331000e+00 -1.26272000e-01 8.26260000e+02
5.75000000e-01 7.50000000e-02 -9.62385000e-01 -1.66735000e-01 8.26243000e+02
6.00000000e-01 7.50000000e-02 -8.54527000e-01 -2.02519000e-01 8.26250000e+02
6.25000000e-01 7.50000000e-02 -7.39670000e-01 -2.26801000e-01 8.26264000e+02
